"BILL_PERIOD","BILLNUMAMEND","BILL_NORM"
"2013-2014","A60","A60"
"2013-2014","A61","A61"
"2013-2014","A62","A62"
"2013-2014","A63","A63"
"2013-2014","A64","A64"
"2013-2014","A148","A148"
"2013-2014","A732","A732"
"2013-2014","A773","A773"
"2013-2014","A774","A774"
"2013-2014","A775-A","A775A"
"2013-2014","A776","A776"
"2013-2014","A777","A777"
"2013-2014","A778","A778"
"2013-2014","A779","A779"
"2013-2014","A780","A780"
"2013-2014","A781","A781"
"2013-2014","A782","A782"
"2013-2014","A783","A783"
"2013-2014","A784","A784"
"2013-2014","A785","A785"
"2013-2014","A470","A470"
"2013-2014","A471","A471"
"2013-2014","A472","A472"
"2013-2014","A473","A473"
"2013-2014","A474","A474"
"2013-2014","A475","A475"
"2013-2014","A476","A476"
"2013-2014","A477","A477"
"2013-2014","A478-A","A478A"
"2013-2014","A479","A479"
"2013-2014","A480","A480"
"2013-2014","A481","A481"
"2013-2014","A482","A482"
"2013-2014","A318","A318"
"2013-2014","A109","A109"
"2013-2014","A110","A110"
"2013-2014","A333","A333"
"2013-2014","A334","A334"
"2013-2014","A335","A335"
"2013-2014","A336","A336"
"2013-2014","A337","A337"
"2013-2014","A338","A338"
"2013-2014","A339","A339"
"2013-2014","A340","A340"
"2013-2014","A341","A341"
"2013-2014","A342","A342"
"2013-2014","S4435","S4435"
"2013-2014","S4436","S4436"
"2013-2014","S4437","S4437"
"2013-2014","A149","A149"
"2013-2014","A150","A150"
"2013-2014","A151-A","A151A"
"2013-2014","A152-A","A152A"
"2013-2014","A141","A141"
"2013-2014","A153","A153"
"2013-2014","A154","A154"
"2013-2014","A375","A375"
"2013-2014","A376","A376"
"2013-2014","A147","A147"
"2013-2014","A377","A377"
"2013-2014","A378","A378"
"2013-2014","A379","A379"
"2013-2014","A380","A380"
"2013-2014","S4147","S4147"
"2013-2014","A381","A381"
"2013-2014","A382","A382"
"2013-2014","A383","A383"
"2013-2014","A384","A384"
"2013-2014","A385","A385"
"2013-2014","A386","A386"
"2013-2014","A387","A387"
"2013-2014","A388","A388"
"2013-2014","A590-A","A590A"
"2013-2014","A591","A591"
"2013-2014","A592","A592"
"2013-2014","A593","A593"
"2013-2014","A594","A594"
"2013-2014","A595","A595"
"2013-2014","A693","A693"
"2013-2014","A694","A694"
"2013-2014","A695","A695"
"2013-2014","A696","A696"
"2013-2014","A697","A697"
"2013-2014","A698","A698"
"2013-2014","A699","A699"
"2013-2014","A700","A700"
"2013-2014","A701","A701"
"2013-2014","A702","A702"
"2013-2014","A703","A703"
"2013-2014","A704","A704"
"2013-2014","A539","A539"
"2013-2014","A540","A540"
"2013-2014","A845","A845"
"2013-2014","A525","A525"
"2013-2014","A519","A519"
"2013-2014","A520","A520"
"2013-2014","A521","A521"
"2013-2014","A522","A522"
"2013-2014","A523","A523"
"2013-2014","A524","A524"
"2013-2014","A526","A526"
"2013-2014","A527","A527"
"2013-2014","A528","A528"
"2013-2014","A538","A538"
"2013-2014","A573","A573"
"2013-2014","A574","A574"
"2013-2014","A575","A575"
"2013-2014","A576","A576"
"2013-2014","A577","A577"
"2013-2014","A578","A578"
"2013-2014","A787","A787"
"2013-2014","A788","A788"
"2013-2014","A789","A789"
"2013-2014","A790","A790"
"2013-2014","A791","A791"
"2013-2014","A792","A792"
"2013-2014","A793","A793"
"2013-2014","A794","A794"
"2013-2014","A795","A795"
"2013-2014","S3623","S3623"
"2013-2014","S3624","S3624"
"2013-2014","S3625","S3625"
"2013-2014","S3626","S3626"
"2013-2014","S3627","S3627"
"2013-2014","S3628","S3628"
"2013-2014","S3629","S3629"
"2013-2014","S3630","S3630"
"2013-2014","S3631","S3631"
"2013-2014","S3632-A","S3632A"
"2013-2014","S3899","S3899"
"2013-2014","S3900","S3900"
"2013-2014","S3901","S3901"
"2013-2014","S3902","S3902"
"2013-2014","S3903","S3903"
"2013-2014","S3904","S3904"
"2013-2014","A691","A691"
"2013-2014","A692","A692"
"2013-2014","A846","A846"
"2013-2014","A847","A847"
"2013-2014","A848","A848"
"2013-2014","A849","A849"
"2013-2014","A850","A850"
"2013-2014","A851","A851"
"2013-2014","A852","A852"
"2013-2014","A853","A853"
"2013-2014","A854","A854"
"2013-2014","A855","A855"
"2013-2014","A856","A856"
"2013-2014","A844","A844"
"2013-2014","A857","A857"
"2013-2014","A826","A826"
"2013-2014","A827","A827"
"2013-2014","A828","A828"
"2013-2014","A111","A111"
"2013-2014","A112","A112"
"2013-2014","A113","A113"
"2013-2014","A114","A114"
"2013-2014","A115","A115"
"2013-2014","A116","A116"
"2013-2014","A117","A117"
"2013-2014","A824-A","A824A"
"2013-2014","A825","A825"
"2013-2014","A118","A118"
"2013-2014","S3905","S3905"
"2013-2014","S3906","S3906"
"2013-2014","S3907","S3907"
"2013-2014","S3908","S3908"
"2013-2014","S3909","S3909"
"2013-2014","S3910","S3910"
"2013-2014","S3911","S3911"
"2013-2014","S3912","S3912"
"2013-2014","S3913","S3913"
"2013-2014","S3914","S3914"
"2013-2014","S3915","S3915"
"2013-2014","S3916","S3916"
"2013-2014","S4170","S4170"
"2013-2014","S4171","S4171"
"2013-2014","S4172","S4172"
"2013-2014","S4173","S4173"
"2013-2014","S4174","S4174"
"2013-2014","A705","A705"
"2013-2014","A917","A917"
"2013-2014","A918","A918"
"2013-2014","A919","A919"
"2013-2014","A920","A920"
"2013-2014","A921","A921"
"2013-2014","A922","A922"
"2013-2014","A923","A923"
"2013-2014","A1160","A1160"
"2013-2014","A1161","A1161"
"2013-2014","A1162","A1162"
"2013-2014","A1163","A1163"
"2013-2014","A858","A858"
"2013-2014","A859","A859"
"2013-2014","A259","A259"
"2013-2014","A260","A260"
"2013-2014","A261","A261"
"2013-2014","A262","A262"
"2013-2014","A263","A263"
"2013-2014","A264","A264"
"2013-2014","A265","A265"
"2013-2014","A266","A266"
"2013-2014","A267","A267"
"2013-2014","A268","A268"
"2013-2014","A269","A269"
"2013-2014","A93","A93"
"2013-2014","A94","A94"
"2013-2014","A320","A320"
"2013-2014","A81","A81"
"2013-2014","A82","A82"
"2013-2014","A83","A83"
"2013-2014","A84","A84"
"2013-2014","A85","A85"
"2013-2014","A86","A86"
"2013-2014","A87","A87"
"2013-2014","A88","A88"
"2013-2014","A89","A89"
"2013-2014","A90","A90"
"2013-2014","A91","A91"
"2013-2014","A751","A751"
"2013-2014","A752","A752"
"2013-2014","A753","A753"
"2013-2014","A754","A754"
"2013-2014","A755","A755"
"2013-2014","A756","A756"
"2013-2014","A757","A757"
"2013-2014","A142","A142"
"2013-2014","A143","A143"
"2013-2014","A144","A144"
"2013-2014","A145","A145"
"2013-2014","A146","A146"
"2013-2014","S4175","S4175"
"2013-2014","S4176","S4176"
"2013-2014","A321","A321"
"2013-2014","A322","A322"
"2013-2014","A323","A323"
"2013-2014","A324","A324"
"2013-2014","A325","A325"
"2013-2014","A326","A326"
"2013-2014","A327","A327"
"2013-2014","A328","A328"
"2013-2014","A329","A329"
"2013-2014","A92","A92"
"2013-2014","A796-A","A796A"
"2013-2014","A797","A797"
"2013-2014","A798","A798"
"2013-2014","A799","A799"
"2013-2014","A800","A800"
"2013-2014","A801","A801"
"2013-2014","A125","A125"
"2013-2014","A126","A126"
"2013-2014","A127","A127"
"2013-2014","A128","A128"
"2013-2014","A129","A129"
"2013-2014","A130","A130"
"2013-2014","A131","A131"
"2013-2014","A132","A132"
"2013-2014","S4476","S4476"
"2013-2014","S4477","S4477"
"2013-2014","S4478","S4478"
"2013-2014","S4177","S4177"
"2013-2014","S4178","S4178"
"2013-2014","S4179","S4179"
"2013-2014","S4180-A","S4180A"
"2013-2014","S4181","S4181"
"2013-2014","S4182","S4182"
"2013-2014","S4183","S4183"
"2013-2014","S4184","S4184"
"2013-2014","S4185","S4185"
"2013-2014","S4473","S4473"
"2013-2014","S4474","S4474"
"2013-2014","S4475","S4475"
"2013-2014","A257","A257"
"2013-2014","A258","A258"
"2013-2014","A494","A494"
"2013-2014","A495","A495"
"2013-2014","A483","A483"
"2013-2014","A484","A484"
"2013-2014","A485","A485"
"2013-2014","A486","A486"
"2013-2014","A487","A487"
"2013-2014","A488","A488"
"2013-2014","A489","A489"
"2013-2014","A330","A330"
"2013-2014","A331","A331"
"2013-2014","A332","A332"
"2013-2014","A319","A319"
"2013-2014","S4479","S4479"
"2013-2014","S4480","S4480"
"2013-2014","S4481","S4481"
"2013-2014","S4482","S4482"
"2013-2014","S4483","S4483"
"2013-2014","S4484","S4484"
"2013-2014","S4485","S4485"
"2013-2014","S4486","S4486"
"2013-2014","S4487","S4487"
"2013-2014","S4488","S4488"
"2013-2014","S3633","S3633"
"2013-2014","S3634","S3634"
"2013-2014","S3635","S3635"
"2013-2014","S3636-A","S3636A"
"2013-2014","A490","A490"
"2013-2014","A491","A491"
"2013-2014","A492","A492"
"2013-2014","A493","A493"
"2013-2014","A3137","A3137"
"2013-2014","A3138","A3138"
"2013-2014","A3139","A3139"
"2013-2014","A2592","A2592"
"2013-2014","A2593","A2593"
"2013-2014","A2594","A2594"
"2013-2014","A2595","A2595"
"2013-2014","A2596","A2596"
"2013-2014","A2597","A2597"
"2013-2014","A2598","A2598"
"2013-2014","A3388","A3388"
"2013-2014","A3389","A3389"
"2013-2014","A3390","A3390"
"2013-2014","S4438","S4438"
"2013-2014","S4439","S4439"
"2013-2014","S4440","S4440"
"2013-2014","S4963","S4963"
"2013-2014","S4964","S4964"
"2013-2014","S4965","S4965"
"2013-2014","S4966","S4966"
"2013-2014","S4967","S4967"
"2013-2014","S4968","S4968"
"2013-2014","S4969","S4969"
"2013-2014","S4970","S4970"
"2013-2014","S4971","S4971"
"2013-2014","S4972","S4972"
"2013-2014","S4973","S4973"
"2013-2014","S4974","S4974"
"2013-2014","S4975","S4975"
"2013-2014","S4976","S4976"
"2013-2014","S4960","S4960"
"2013-2014","S4961","S4961"
"2013-2014","S4962","S4962"
"2013-2014","S4977","S4977"
"2013-2014","S4978","S4978"
"2013-2014","S4979","S4979"
"2013-2014","S4980","S4980"
"2013-2014","S4981","S4981"
"2013-2014","S4982","S4982"
"2013-2014","S4983","S4983"
"2013-2014","S4984","S4984"
"2013-2014","S4985","S4985"
"2013-2014","S4986","S4986"
"2013-2014","S4987","S4987"
"2013-2014","S4988","S4988"
"2013-2014","S4989","S4989"
"2013-2014","S4990","S4990"
"2013-2014","S4991","S4991"
"2013-2014","S4992","S4992"
"2013-2014","S4993","S4993"
"2013-2014","S4491","S4491"
"2013-2014","S4492","S4492"
"2013-2014","S4493","S4493"
"2013-2014","S4148","S4148"
"2013-2014","S4149","S4149"
"2013-2014","S4150","S4150"
"2013-2014","S4151","S4151"
"2013-2014","S4152","S4152"
"2013-2014","S4441","S4441"
"2013-2014","S4442","S4442"
"2013-2014","S4443","S4443"
"2013-2014","S4444","S4444"
"2013-2014","S4445","S4445"
"2013-2014","S4446","S4446"
"2013-2014","S4447","S4447"
"2013-2014","S4448","S4448"
"2013-2014","S4449","S4449"
"2013-2014","S3879","S3879"
"2013-2014","S3880","S3880"
"2013-2014","S3881","S3881"
"2013-2014","S3893","S3893"
"2013-2014","S3894-A","S3894A"
"2013-2014","S3895","S3895"
"2013-2014","S3896","S3896"
"2013-2014","S3897","S3897"
"2013-2014","S3898","S3898"
"2013-2014","S4153","S4153"
"2013-2014","S4154","S4154"
"2013-2014","S4155","S4155"
"2013-2014","S4156","S4156"
"2013-2014","S4157","S4157"
"2013-2014","S4158","S4158"
"2013-2014","S4159","S4159"
"2013-2014","A3391","A3391"
"2013-2014","A3392","A3392"
"2013-2014","A3393","A3393"
"2013-2014","A3394","A3394"
"2013-2014","A3383","A3383"
"2013-2014","A3620","A3620"
"2013-2014","A3621","A3621"
"2013-2014","A3622","A3622"
"2013-2014","A3623","A3623"
"2013-2014","A3624","A3624"
"2013-2014","A3625","A3625"
"2013-2014","S4840","S4840"
"2013-2014","S4841","S4841"
"2013-2014","S4842","S4842"
"2013-2014","S4843","S4843"
"2013-2014","S4844","S4844"
"2013-2014","S4845","S4845"
"2013-2014","S4846","S4846"
"2013-2014","S4847","S4847"
"2013-2014","S4848","S4848"
"2013-2014","S4849","S4849"
"2013-2014","S4850","S4850"
"2013-2014","S4851","S4851"
"2013-2014","S4494-A","S4494A"
"2013-2014","S4495","S4495"
"2013-2014","S4496","S4496"
"2013-2014","S4497","S4497"
"2013-2014","S4498","S4498"
"2013-2014","S4499","S4499"
"2013-2014","S4500","S4500"
"2013-2014","S4501","S4501"
"2013-2014","S4502","S4502"
"2013-2014","S4503","S4503"
"2013-2014","S3650","S3650"
"2013-2014","S3651","S3651"
"2013-2014","S3652","S3652"
"2013-2014","A501","A501"
"2013-2014","A496","A496"
"2013-2014","S4212","S4212"
"2013-2014","S4213","S4213"
"2013-2014","S4214","S4214"
"2013-2014","S4215","S4215"
"2013-2014","S4216","S4216"
"2013-2014","S4217","S4217"
"2013-2014","S4218","S4218"
"2013-2014","S4219","S4219"
"2013-2014","S4220","S4220"
"2013-2014","S4221","S4221"
"2013-2014","S4222","S4222"
"2013-2014","S4223","S4223"
"2013-2014","S4224","S4224"
"2013-2014","S4225","S4225"
"2013-2014","S4226","S4226"
"2013-2014","S4227","S4227"
"2013-2014","S3681","S3681"
"2013-2014","S3682","S3682"
"2013-2014","S3947","S3947"
"2013-2014","S3948","S3948"
"2013-2014","S3949","S3949"
"2013-2014","S3950","S3950"
"2013-2014","S3951","S3951"
"2013-2014","S3952","S3952"
"2013-2014","S3953-A","S3953A"
"2013-2014","S3954","S3954"
"2013-2014","S3955","S3955"
"2013-2014","S3956","S3956"
"2013-2014","S3957","S3957"
"2013-2014","S3958","S3958"
"2013-2014","S3959","S3959"
"2013-2014","S3829","S3829"
"2013-2014","S4839","S4839"
"2013-2014","S3830","S3830"
"2013-2014","S3831","S3831"
"2013-2014","S3832","S3832"
"2013-2014","S3833","S3833"
"2013-2014","S3834","S3834"
"2013-2014","S3835","S3835"
"2013-2014","S3836","S3836"
"2013-2014","S3837","S3837"
"2013-2014","S3838","S3838"
"2013-2014","A551","A551"
"2013-2014","A552","A552"
"2013-2014","A553","A553"
"2013-2014","A497","A497"
"2013-2014","A498","A498"
"2013-2014","A499","A499"
"2013-2014","A500","A500"
"2013-2014","A502","A502"
"2013-2014","A503","A503"
"2013-2014","A504","A504"
"2013-2014","A505","A505"
"2013-2014","A506","A506"
"2013-2014","A507","A507"
"2013-2014","A343","A343"
"2013-2014","A344","A344"
"2013-2014","A294","A294"
"2013-2014","A295","A295"
"2013-2014","A296","A296"
"2013-2014","A297","A297"
"2013-2014","A298","A298"
"2013-2014","A299","A299"
"2013-2014","A300","A300"
"2013-2014","A301","A301"
"2013-2014","A302","A302"
"2013-2014","A303","A303"
"2013-2014","A304","A304"
"2013-2014","A293","A293"
"2013-2014","A65","A65"
"2013-2014","A66","A66"
"2013-2014","A67","A67"
"2013-2014","A68-A","A68A"
"2013-2014","A69","A69"
"2013-2014","A70","A70"
"2013-2014","A71","A71"
"2013-2014","A72","A72"
"2013-2014","A73","A73"
"2013-2014","A74","A74"
"2013-2014","A75","A75"
"2013-2014","A76","A76"
"2013-2014","A77","A77"
"2013-2014","A78","A78"
"2013-2014","A79","A79"
"2013-2014","A734","A734"
"2013-2014","A735","A735"
"2013-2014","A736","A736"
"2013-2014","A737","A737"
"2013-2014","A738","A738"
"2013-2014","A739","A739"
"2013-2014","A740","A740"
"2013-2014","A741","A741"
"2013-2014","A742","A742"
"2013-2014","A743","A743"
"2013-2014","S3839","S3839"
"2013-2014","S3840","S3840"
"2013-2014","S3841","S3841"
"2013-2014","A345","A345"
"2013-2014","A346","A346"
"2013-2014","A554","A554"
"2013-2014","A555","A555"
"2013-2014","A556","A556"
"2013-2014","A557","A557"
"2013-2014","A558","A558"
"2013-2014","A559","A559"
"2013-2014","A560","A560"
"2013-2014","A561","A561"
"2013-2014","S4996","S4996"
"2013-2014","S4997","S4997"
"2013-2014","S4998","S4998"
"2013-2014","S4999","S4999"
"2013-2014","A1","A1"
"2013-2014","A2","A2"
"2013-2014","A3","A3"
"2013-2014","A4","A4"
"2013-2014","A133","A133"
"2013-2014","A134","A134"
"2013-2014","A135","A135"
"2013-2014","A136","A136"
"2013-2014","A137","A137"
"2013-2014","A138","A138"
"2013-2014","A139","A139"
"2013-2014","A140","A140"
"2013-2014","A360","A360"
"2013-2014","A361","A361"
"2013-2014","A362","A362"
"2013-2014","A363","A363"
"2013-2014","A364","A364"
"2013-2014","A365","A365"
"2013-2014","S4450","S4450"
"2013-2014","A562","A562"
"2013-2014","A563","A563"
"2013-2014","A564","A564"
"2013-2014","A565","A565"
"2013-2014","A786","A786"
"2013-2014","A816","A816"
"2013-2014","A817","A817"
"2013-2014","A818-A","A818A"
"2013-2014","A819","A819"
"2013-2014","A820","A820"
"2013-2014","A821","A821"
"2013-2014","A822-A","A822A"
"2013-2014","A823","A823"
"2013-2014","S3852","S3852"
"2013-2014","S4120","S4120"
"2013-2014","S4121","S4121"
"2013-2014","S4122","S4122"
"2013-2014","S4123","S4123"
"2013-2014","S4124","S4124"
"2013-2014","S4125","S4125"
"2013-2014","S4126","S4126"
"2013-2014","S4127","S4127"
"2013-2014","S4128","S4128"
"2013-2014","S4129","S4129"
"2013-2014","S4130","S4130"
"2013-2014","S4131","S4131"
"2013-2014","S3919","S3919"
"2013-2014","S3920","S3920"
"2013-2014","S3921","S3921"
"2013-2014","A33","A33"
"2013-2014","A34","A34"
"2013-2014","S3853","S3853"
"2013-2014","S3854","S3854"
"2013-2014","S3855","S3855"
"2013-2014","S4994","S4994"
"2013-2014","S4995","S4995"
"2013-2014","S3856","S3856"
"2013-2014","S3857","S3857"
"2013-2014","S3858","S3858"
"2013-2014","S3859","S3859"
"2013-2014","S3860","S3860"
"2013-2014","S3861","S3861"
"2013-2014","S3862","S3862"
"2013-2014","S3863","S3863"
"2013-2014","S3653","S3653"
"2013-2014","S3654","S3654"
"2013-2014","S3655","S3655"
"2013-2014","S4451","S4451"
"2013-2014","S4452","S4452"
"2013-2014","S4453","S4453"
"2013-2014","S4454","S4454"
"2013-2014","S4455","S4455"
"2013-2014","S4456","S4456"
"2013-2014","S4688","S4688"
"2013-2014","S4689","S4689"
"2013-2014","S4690","S4690"
"2013-2014","S4691","S4691"
"2013-2014","S4692","S4692"
"2013-2014","S4693","S4693"
"2013-2014","S4694","S4694"
"2013-2014","S4695","S4695"
"2013-2014","S4696","S4696"
"2013-2014","S4697","S4697"
"2013-2014","S4698","S4698"
"2013-2014","S4699","S4699"
"2013-2014","S4700","S4700"
"2013-2014","S4687","S4687"
"2013-2014","S4701","S4701"
"2013-2014","S4702","S4702"
"2013-2014","S4703","S4703"
"2013-2014","S4704","S4704"
"2013-2014","S4705","S4705"
"2013-2014","S4706","S4706"
"2013-2014","S4707","S4707"
"2013-2014","S4708","S4708"
"2013-2014","S4709","S4709"
"2013-2014","S4710","S4710"
"2013-2014","S4711","S4711"
"2013-2014","S4712","S4712"
"2013-2014","S4713","S4713"
"2013-2014","S4714","S4714"
"2013-2014","S4715","S4715"
"2013-2014","S4716","S4716"
"2013-2014","S4160","S4160"
"2013-2014","S4161","S4161"
"2013-2014","S4162","S4162"
"2013-2014","S4163","S4163"
"2013-2014","S4164","S4164"
"2013-2014","S4165","S4165"
"2013-2014","S4166","S4166"
"2013-2014","S4167","S4167"
"2013-2014","S4168","S4168"
"2013-2014","S4169","S4169"
"2013-2014","S4458","S4458"
"2013-2014","S4459","S4459"
"2013-2014","S4460","S4460"
"2013-2014","S4461-A","S4461A"
"2013-2014","S4462","S4462"
"2013-2014","S4463","S4463"
"2013-2014","S4464","S4464"
"2013-2014","S3922","S3922"
"2013-2014","S3923-A","S3923A"
"2013-2014","S3924","S3924"
"2013-2014","S3925","S3925"
"2013-2014","S3926","S3926"
"2013-2014","S3927","S3927"
"2013-2014","S3928","S3928"
"2013-2014","S3929","S3929"
"2013-2014","S3930","S3930"
"2013-2014","S3931","S3931"
"2013-2014","S3932","S3932"
"2013-2014","S4186","S4186"
"2013-2014","S4187","S4187"
"2013-2014","S4188","S4188"
"2013-2014","A1164","A1164"
"2013-2014","A1165-A","A1165A"
"2013-2014","S3656","S3656"
"2013-2014","S3657","S3657"
"2013-2014","S3658","S3658"
"2013-2014","S3659-A","S3659A"
"2013-2014","S3660","S3660"
"2013-2014","S3661","S3661"
"2013-2014","S3662","S3662"
"2013-2014","S3663","S3663"
"2013-2014","S3664","S3664"
"2013-2014","S3665","S3665"
"2013-2014","S3666","S3666"
"2013-2014","S3933","S3933"
"2013-2014","A6299","A6299"
"2013-2014","A4294","A4294"
"2013-2014","A4295","A4295"
"2013-2014","A4296","A4296"
"2013-2014","A4297","A4297"
"2013-2014","A4298","A4298"
"2013-2014","A4299","A4299"
"2013-2014","A4300","A4300"
"2013-2014","A4301","A4301"
"2013-2014","A4505","A4505"
"2013-2014","A4515","A4515"
"2013-2014","A4516-A","A4516A"
"2013-2014","A5056-B","A5056B"
"2013-2014","A5057","A5057"
"2013-2014","A5908","A5908"
"2013-2014","A5909","A5909"
"2013-2014","A5910","A5910"
"2013-2014","A5911","A5911"
"2013-2014","A5912","A5912"
"2013-2014","A5913","A5913"
"2013-2014","A5914","A5914"
"2013-2014","A5915","A5915"
"2013-2014","A5491","A5491"
"2013-2014","A5492","A5492"
"2013-2014","A5493","A5493"
"2013-2014","A5494","A5494"
"2013-2014","A5495","A5495"
"2013-2014","A5496","A5496"
"2013-2014","A5497","A5497"
"2013-2014","A5498","A5498"
"2013-2014","A5359","A5359"
"2013-2014","A5360","A5360"
"2013-2014","A5361","A5361"
"2013-2014","A5362","A5362"
"2013-2014","A5363","A5363"
"2013-2014","A5364","A5364"
"2013-2014","A5365","A5365"
"2013-2014","A5366","A5366"
"2013-2014","A5367","A5367"
"2013-2014","A5596","A5596"
"2013-2014","A5597","A5597"
"2013-2014","A4517","A4517"
"2013-2014","A4518","A4518"
"2013-2014","A4519","A4519"
"2013-2014","A6506","A6506"
"2013-2014","A6507","A6507"
"2013-2014","A6508","A6508"
"2013-2014","A6509","A6509"
"2013-2014","A6510","A6510"
"2013-2014","A6511","A6511"
"2013-2014","A6512","A6512"
"2013-2014","A6513","A6513"
"2013-2014","A6514","A6514"
"2013-2014","A6526","A6526"
"2013-2014","A6527","A6527"
"2013-2014","A6528","A6528"
"2013-2014","A4497","A4497"
"2013-2014","A4498","A4498"
"2013-2014","A5058","A5058"
"2013-2014","A4342","A4342"
"2013-2014","A4343","A4343"
"2013-2014","A4344","A4344"
"2013-2014","A4345","A4345"
"2013-2014","A4346","A4346"
"2013-2014","A4347","A4347"
"2013-2014","A4348","A4348"
"2013-2014","A4349","A4349"
"2013-2014","A4350","A4350"
"2013-2014","A4351","A4351"
"2013-2014","A4189","A4189"
"2013-2014","A4190","A4190"
"2013-2014","A4191","A4191"
"2013-2014","A4192","A4192"
"2013-2014","A4193","A4193"
"2013-2014","A4394","A4394"
"2013-2014","A4395","A4395"
"2013-2014","A4396","A4396"
"2013-2014","A4397","A4397"
"2013-2014","A4398","A4398"
"2013-2014","A4399","A4399"
"2013-2014","A4400","A4400"
"2013-2014","A5358","A5358"
"2013-2014","A4520","A4520"
"2013-2014","A4521","A4521"
"2013-2014","A4522","A4522"
"2013-2014","A4523","A4523"
"2013-2014","A4524","A4524"
"2013-2014","A4525","A4525"
"2013-2014","A4526","A4526"
"2013-2014","A4527","A4527"
"2013-2014","A4528","A4528"
"2013-2014","A4529","A4529"
"2013-2014","A4759","A4759"
"2013-2014","A4760","A4760"
"2013-2014","A4761","A4761"
"2013-2014","A4353","A4353"
"2013-2014","A4354","A4354"
"2013-2014","A4575","A4575"
"2013-2014","A4576","A4576"
"2013-2014","A4405","A4405"
"2013-2014","A4406","A4406"
"2013-2014","A4648","A4648"
"2013-2014","A4649","A4649"
"2013-2014","A4650","A4650"
"2013-2014","A4651","A4651"
"2013-2014","A4652","A4652"
"2013-2014","A4653","A4653"
"2013-2014","A4654","A4654"
"2013-2014","A5370","A5370"
"2013-2014","A5371","A5371"
"2013-2014","A5372","A5372"
"2013-2014","A4763","A4763"
"2013-2014","A4764","A4764"
"2013-2014","A4765","A4765"
"2013-2014","A4766","A4766"
"2013-2014","A4767","A4767"
"2013-2014","A4768","A4768"
"2013-2014","A4769","A4769"
"2013-2014","A4770","A4770"
"2013-2014","A4771","A4771"
"2013-2014","A5004","A5004"
"2013-2014","A5032","A5032"
"2013-2014","A4589","A4589"
"2013-2014","A4590","A4590"
"2013-2014","A4591","A4591"
"2013-2014","A4657","A4657"
"2013-2014","A4658-A","A4658A"
"2013-2014","A4659","A4659"
"2013-2014","A4660","A4660"
"2013-2014","A4870","A4870"
"2013-2014","A4871","A4871"
"2013-2014","A4872","A4872"
"2013-2014","A4873","A4873"
"2013-2014","A4874","A4874"
"2013-2014","A4875","A4875"
"2013-2014","A4876","A4876"
"2013-2014","A4877","A4877"
"2013-2014","A5183","A5183"
"2013-2014","A5184","A5184"
"2013-2014","A5185","A5185"
"2013-2014","A4577","A4577"
"2013-2014","A4578","A4578"
"2013-2014","A4579","A4579"
"2013-2014","A4580","A4580"
"2013-2014","A4581","A4581"
"2013-2014","A4582","A4582"
"2013-2014","A4583","A4583"
"2013-2014","A4584","A4584"
"2013-2014","A4352","A4352"
"2013-2014","A4585","A4585"
"2013-2014","A4586","A4586"
"2013-2014","A4587","A4587"
"2013-2014","A4588","A4588"
"2013-2014","A4401","A4401"
"2013-2014","A4402","A4402"
"2013-2014","A4403","A4403"
"2013-2014","A4404","A4404"
"2013-2014","A5373","A5373"
"2013-2014","A5374","A5374"
"2013-2014","A5375","A5375"
"2013-2014","A5376","A5376"
"2013-2014","A5377","A5377"
"2013-2014","A5378","A5378"
"2013-2014","A5379","A5379"
"2013-2014","A5368","A5368"
"2013-2014","A5608","A5608"
"2013-2014","A4762","A4762"
"2013-2014","A4592","A4592"
"2013-2014","A4813","A4813"
"2013-2014","A4814","A4814"
"2013-2014","A4815","A4815"
"2013-2014","A4816","A4816"
"2013-2014","A4817","A4817"
"2013-2014","A4818","A4818"
"2013-2014","A4819","A4819"
"2013-2014","A4820","A4820"
"2013-2014","A4821","A4821"
"2013-2014","A4822","A4822"
"2013-2014","A4655","A4655"
"2013-2014","A4656","A4656"
"2013-2014","A5186","A5186"
"2013-2014","A5187","A5187"
"2013-2014","A5188","A5188"
"2013-2014","A5189","A5189"
"2013-2014","A5190","A5190"
"2013-2014","A5191","A5191"
"2013-2014","A5192","A5192"
"2013-2014","A5193","A5193"
"2013-2014","A5194","A5194"
"2013-2014","A5195","A5195"
"2013-2014","A5196","A5196"
"2013-2014","A5182","A5182"
"2013-2014","A5034","A5034"
"2013-2014","A5035","A5035"
"2013-2014","A5036","A5036"
"2013-2014","A5037-A","A5037A"
"2013-2014","A5038","A5038"
"2013-2014","A5039","A5039"
"2013-2014","A5040","A5040"
"2013-2014","A5041","A5041"
"2013-2014","A5042","A5042"
"2013-2014","A5043","A5043"
"2013-2014","A5044","A5044"
"2013-2014","A5033","A5033"
"2013-2014","A4302","A4302"
"2013-2014","A4303","A4303"
"2013-2014","A4823","A4823"
"2013-2014","A4824","A4824"
"2013-2014","A4825","A4825"
"2013-2014","A4812","A4812"
"2013-2014","A4883","A4883"
"2013-2014","A4884","A4884"
"2013-2014","A4194","A4194"
"2013-2014","A4195","A4195"
"2013-2014","A4196","A4196"
"2013-2014","A4197","A4197"
"2013-2014","A4198","A4198"
"2013-2014","A4199","A4199"
"2013-2014","A4200","A4200"
"2013-2014","A4201","A4201"
"2013-2014","A5160","A5160"
"2013-2014","A5161","A5161"
"2013-2014","A5162","A5162"
"2013-2014","A5174","A5174"
"2013-2014","A5175-A","A5175A"
