"BILL_PERIOD","BILLNUMAMEND","BILL_NORM"
"2007-2008","A807","A807"
"2007-2008","A808","A808"
"2007-2008","A809-A","A809A"
"2007-2008","A810","A810"
"2007-2008","A811","A811"
"2007-2008","A812","A812"
"2007-2008","A813","A813"
"2007-2008","A814","A814"
"2007-2008","A815","A815"
"2007-2008","A859","A859"
"2007-2008","A860","A860"
"2007-2008","A861","A861"
"2007-2008","A862","A862"
"2007-2008","A886","A886"
"2007-2008","A887","A887"
"2007-2008","A888","A888"
"2007-2008","A889","A889"
"2007-2008","A745","A745"
"2007-2008","A746","A746"
"2007-2008","A747","A747"
"2007-2008","A1027","A1027"
"2007-2008","A1028","A1028"
"2007-2008","A1029","A1029"
"2007-2008","A1030","A1030"
"2007-2008","A1031","A1031"
"2007-2008","A1032","A1032"
"2007-2008","A1033","A1033"
"2007-2008","A1099","A1099"
"2007-2008","A1100","A1100"
"2007-2008","A1101","A1101"
"2007-2008","A596","A596"
"2007-2008","A597","A597"
"2007-2008","A691","A691"
"2007-2008","A621","A621"
"2007-2008","A622","A622"
"2007-2008","A623","A623"
"2007-2008","A624","A624"
"2007-2008","A625","A625"
"2007-2008","A626","A626"
"2007-2008","A568","A568"
"2007-2008","A569","A569"
"2007-2008","A570","A570"
"2007-2008","A571","A571"
"2007-2008","A572","A572"
"2007-2008","A573","A573"
"2007-2008","A738","A738"
"2007-2008","A739","A739"
"2007-2008","A630","A630"
"2007-2008","A631","A631"
"2007-2008","A632","A632"
"2007-2008","A633","A633"
"2007-2008","A634","A634"
"2007-2008","A635","A635"
"2007-2008","A636","A636"
"2007-2008","A637-A","A637A"
"2007-2008","A777","A777"
"2007-2008","A778","A778"
"2007-2008","A779","A779"
"2007-2008","A780","A780"
"2007-2008","A748","A748"
"2007-2008","A839","A839"
"2007-2008","A840","A840"
"2007-2008","A928","A928"
"2007-2008","A929","A929"
"2007-2008","A930","A930"
"2007-2008","A931","A931"
"2007-2008","A932","A932"
"2007-2008","A933-A","A933A"
"2007-2008","A934","A934"
"2007-2008","A935-A","A935A"
"2007-2008","A936","A936"
"2007-2008","A937","A937"
"2007-2008","A1102","A1102"
"2007-2008","A1103","A1103"
"2007-2008","A1104","A1104"
"2007-2008","A1105","A1105"
"2007-2008","A1106","A1106"
"2007-2008","A1047","A1047"
"2007-2008","A1048","A1048"
"2007-2008","A1049","A1049"
"2007-2008","A1050","A1050"
"2007-2008","A1051","A1051"
"2007-2008","A1052","A1052"
"2007-2008","A1053","A1053"
"2007-2008","A574","A574"
"2007-2008","A575-A","A575A"
"2007-2008","A598","A598"
"2007-2008","A599","A599"
"2007-2008","A600","A600"
"2007-2008","A601","A601"
"2007-2008","A602","A602"
"2007-2008","A603","A603"
"2007-2008","A604","A604"
"2007-2008","A605","A605"
"2007-2008","A606","A606"
"2007-2008","A607","A607"
"2007-2008","A716","A716"
"2007-2008","A781","A781"
"2007-2008","A782","A782"
"2007-2008","A783","A783"
"2007-2008","A784","A784"
"2007-2008","A785","A785"
"2007-2008","A786","A786"
"2007-2008","A787-A","A787A"
"2007-2008","A788-A","A788A"
"2007-2008","A789","A789"
"2007-2008","A790","A790"
"2007-2008","A791","A791"
"2007-2008","A792","A792"
"2007-2008","A877","A877"
"2007-2008","A938","A938"
"2007-2008","A939","A939"
"2007-2008","A940","A940"
"2007-2008","A997","A997"
"2007-2008","A944","A944"
"2007-2008","A945","A945"
"2007-2008","A946","A946"
"2007-2008","A947-B","A947B"
"2007-2008","A948","A948"
"2007-2008","A949","A949"
"2007-2008","A976","A976"
"2007-2008","A977","A977"
"2007-2008","A1054","A1054"
"2007-2008","A1055","A1055"
"2007-2008","A1056","A1056"
"2007-2008","A1057","A1057"
"2007-2008","A1058","A1058"
"2007-2008","A1059-A","A1059A"
"2007-2008","A1060","A1060"
"2007-2008","A1061","A1061"
"2007-2008","A1034","A1034"
"2007-2008","A1035","A1035"
"2007-2008","A1036","A1036"
"2007-2008","A1037","A1037"
"2007-2008","A717","A717"
"2007-2008","A718-A","A718A"
"2007-2008","A719-A","A719A"
"2007-2008","A720","A720"
"2007-2008","A721","A721"
"2007-2008","A722","A722"
"2007-2008","A723-A","A723A"
"2007-2008","A724","A724"
"2007-2008","A725-A","A725A"
"2007-2008","A627","A627"
"2007-2008","A628-A","A628A"
"2007-2008","A819","A819"
"2007-2008","A820","A820"
"2007-2008","A821","A821"
"2007-2008","A822","A822"
"2007-2008","A823","A823"
"2007-2008","A824-A","A824A"
"2007-2008","A825","A825"
"2007-2008","A826","A826"
"2007-2008","A763","A763"
"2007-2008","A764","A764"
"2007-2008","A765","A765"
"2007-2008","A766","A766"
"2007-2008","A978","A978"
"2007-2008","A979","A979"
"2007-2008","A980","A980"
"2007-2008","A981","A981"
"2007-2008","A982","A982"
"2007-2008","A983","A983"
"2007-2008","A984","A984"
"2007-2008","A985","A985"
"2007-2008","A986","A986"
"2007-2008","A987","A987"
"2007-2008","A988","A988"
"2007-2008","A989","A989"
"2007-2008","A990","A990"
"2007-2008","A991","A991"
"2007-2008","A992","A992"
"2007-2008","A1038","A1038"
"2007-2008","A1039","A1039"
"2007-2008","A1040","A1040"
"2007-2008","A1041","A1041"
"2007-2008","A1042","A1042"
"2007-2008","A1043","A1043"
"2007-2008","A1044-A","A1044A"
"2007-2008","A1045","A1045"
"2007-2008","A1046","A1046"
"2007-2008","A1077","A1077"
"2007-2008","A1078","A1078"
"2007-2008","A918","A918"
"2007-2008","A919","A919"
"2007-2008","A629","A629"
"2007-2008","A547","A547"
"2007-2008","A548","A548"
"2007-2008","A549","A549"
"2007-2008","A550","A550"
"2007-2008","A551","A551"
"2007-2008","A552","A552"
"2007-2008","A553","A553"
"2007-2008","A641","A641"
"2007-2008","A642","A642"
"2007-2008","A643","A643"
"2007-2008","A644","A644"
"2007-2008","A558","A558"
"2007-2008","A559","A559"
"2007-2008","A794","A794"
"2007-2008","A795","A795"
"2007-2008","A796","A796"
"2007-2008","A797","A797"
"2007-2008","A798","A798"
"2007-2008","A799","A799"
"2007-2008","A800-A","A800A"
"2007-2008","A890","A890"
"2007-2008","A891","A891"
"2007-2008","A892-A","A892A"
"2007-2008","A893-A","A893A"
"2007-2008","A993","A993"
"2007-2008","A994-A","A994A"
"2007-2008","A995-A","A995A"
"2007-2008","A996","A996"
"2007-2008","A915","A915"
"2007-2008","A829","A829"
"2007-2008","A830","A830"
"2007-2008","A831","A831"
"2007-2008","A832","A832"
"2007-2008","A950","A950"
"2007-2008","A951","A951"
"2007-2008","A952","A952"
"2007-2008","A920","A920"
"2007-2008","A921","A921"
"2007-2008","A922","A922"
"2007-2008","A923","A923"
"2007-2008","A924","A924"
"2007-2008","A925","A925"
"2007-2008","A926","A926"
"2007-2008","A1020","A1020"
"2007-2008","A1021","A1021"
"2007-2008","A1119","A1119"
"2007-2008","A1120","A1120"
"2007-2008","A1121","A1121"
"2007-2008","A560","A560"
"2007-2008","A692","A692"
"2007-2008","A693","A693"
"2007-2008","A694","A694"
"2007-2008","A695","A695"
"2007-2008","A696","A696"
"2007-2008","A101","A101"
"2007-2008","A102","A102"
"2007-2008","A103","A103"
"2007-2008","A104","A104"
"2007-2008","A105-A","A105A"
"2007-2008","A106","A106"
"2007-2008","A107","A107"
"2007-2008","A108","A108"
"2007-2008","A109","A109"
"2007-2008","A110","A110"
"2007-2008","A111","A111"
"2007-2008","A112","A112"
"2007-2008","A202-A","A202A"
"2007-2008","A203","A203"
"2007-2008","A204","A204"
"2007-2008","A205","A205"
"2007-2008","A206","A206"
"2007-2008","A207","A207"
"2007-2008","A208","A208"
"2007-2008","A209","A209"
"2007-2008","A210","A210"
"2007-2008","A211","A211"
"2007-2008","A212","A212"
"2007-2008","A213","A213"
"2007-2008","A214","A214"
"2007-2008","A215","A215"
"2007-2008","A136","A136"
"2007-2008","A348","A348"
"2007-2008","A329","A329"
"2007-2008","A330","A330"
"2007-2008","A331","A331"
"2007-2008","A332-A","A332A"
"2007-2008","A333-A","A333A"
"2007-2008","A334","A334"
"2007-2008","A335","A335"
"2007-2008","A336","A336"
"2007-2008","A337","A337"
